28320,2832*,283**,28***,2****,*****
28323,2832*,283**,28***,2****,*****
28325,2832*,283**,28***,2****,*****
28326,2832*,283**,28***,2****,*****
28327,2832*,283**,28***,2****,*****
28328,2832*,283**,28***,2****,*****
28330,2833*,283**,28***,2****,*****
28332,2833*,283**,28***,2****,*****
28333,2833*,283**,28***,2****,*****
28334,2833*,283**,28***,2****,*****
28337,2833*,283**,28***,2****,*****
28338,2833*,283**,28***,2****,*****
28339,2833*,283**,28***,2****,*****
28340,2834*,283**,28***,2****,*****
28341,2834*,283**,28***,2****,*****
28342,2834*,283**,28***,2****,*****
28343,2834*,283**,28***,2****,*****
28344,2834*,283**,28***,2****,*****
28345,2834*,283**,28***,2****,*****
28347,2834*,283**,28***,2****,*****
28348,2834*,283**,28***,2****,*****
28349,2834*,283**,28***,2****,*****
28350,2835*,283**,28***,2****,*****
28351,2835*,283**,28***,2****,*****
28352,2835*,283**,28***,2****,*****
28356,2835*,283**,28***,2****,*****
28357,2835*,283**,28***,2****,*****
28358,2835*,283**,28***,2****,*****
28359,2835*,283**,28***,2****,*****
28360,2836*,283**,28***,2****,*****
28362,2836*,283**,28***,2****,*****
28363,2836*,283**,28***,2****,*****
28364,2836*,283**,28***,2****,*****
28365,2836*,283**,28***,2****,*****
28366,2836*,283**,28***,2****,*****
28367,2836*,283**,28***,2****,*****
28369,2836*,283**,28***,2****,*****
28371,2837*,283**,28***,2****,*****
28372,2837*,283**,28***,2****,*****
28373,2837*,283**,28***,2****,*****
28374,2837*,283**,28***,2****,*****
28375,2837*,283**,28***,2****,*****
28376,2837*,283**,28***,2****,*****
28377,2837*,283**,28***,2****,*****
28378,2837*,283**,28***,2****,*****
28379,2837*,283**,28***,2****,*****
28382,2838*,283**,28***,2****,*****
28383,2838*,283**,28***,2****,*****
28384,2838*,283**,28***,2****,*****
28385,2838*,283**,28***,2****,*****
28386,2838*,283**,28***,2****,*****
28387,2838*,283**,28***,2****,*****
28390,2839*,283**,28***,2****,*****
28391,2839*,283**,28***,2****,*****
28392,2839*,283**,28***,2****,*****
28393,2839*,283**,28***,2****,*****
28394,2839*,283**,28***,2****,*****
28395,2839*,283**,28***,2****,*****
28396,2839*,283**,28***,2****,*****
28398,2839*,283**,28***,2****,*****
28399,2839*,283**,28***,2****,*****
28401,2840*,284**,28***,2****,*****
28403,2840*,284**,28***,2****,*****
28405,2840*,284**,28***,2****,*****
28409,2840*,284**,28***,2****,*****
28411,2841*,284**,28***,2****,*****
28412,2841*,284**,28***,2****,*****
28420,2842*,284**,28***,2****,*****
28421,2842*,284**,28***,2****,*****
28422,2842*,284**,28***,2****,*****
28423,2842*,284**,28***,2****,*****
28424,2842*,284**,28***,2****,*****
28425,2842*,284**,28***,2****,*****
28428,2842*,284**,28***,2****,*****
28429,2842*,284**,28***,2****,*****
28430,2843*,284**,28***,2****,*****
28431,2843*,284**,28***,2****,*****
28432,2843*,284**,28***,2****,*****
28433,2843*,284**,28***,2****,*****
28434,2843*,284**,28***,2****,*****
28435,2843*,284**,28***,2****,*****
28436,2843*,284**,28***,2****,*****
28438,2843*,284**,28***,2****,*****
28439,2843*,284**,28***,2****,*****
28441,2844*,284**,28***,2****,*****
28442,2844*,284**,28***,2****,*****
28443,2844*,284**,28***,2****,*****
28444,2844*,284**,28***,2****,*****
28445,2844*,284**,28***,2****,*****
28446,2844*,284**,28***,2****,*****
28447,2844*,284**,28***,2****,*****
28448,2844*,284**,28***,2****,*****
28449,2844*,284**,28***,2****,*****
28450,2845*,284**,28***,2****,*****
28451,2845*,284**,28***,2****,*****
28452,2845*,284**,28***,2****,*****
28453,2845*,284**,28***,2****,*****
28454,2845*,284**,28***,2****,*****
28455,2845*,284**,28***,2****,*****
28456,2845*,284**,28***,2****,*****
28457,2845*,284**,28***,2****,*****
28458,2845*,284**,28***,2****,*****
28460,2846*,284**,28***,2****,*****
28461,2846*,284**,28***,2****,*****
28462,2846*,284**,28***,2****,*****
28463,2846*,284**,28***,2****,*****
28464,2846*,284**,28***,2****,*****
28465,2846*,284**,28***,2****,*****
28466,2846*,284**,28***,2****,*****
28467,2846*,284**,28***,2****,*****
28468,2846*,284**,28***,2****,*****
28469,2846*,284**,28***,2****,*****
28470,2847*,284**,28***,2****,*****
28471,2847*,284**,28***,2****,*****
28472,2847*,284**,28***,2****,*****
28478,2847*,284**,28***,2****,*****
28479,2847*,284**,28***,2****,*****
28480,2848*,284**,28***,2****,*****
28501,2850*,285**,28***,2****,*****
28504,2850*,285**,28***,2****,*****
28508,2850*,285**,28***,2****,*****
28509,2850*,285**,28***,2****,*****
28510,2851*,285**,28***,2****,*****
28511,2851*,285**,28***,2****,*****
28512,2851*,285**,28***,2****,*****
28513,2851*,285**,28***,2****,*****
28515,2851*,285**,28***,2****,*****
28516,2851*,285**,28***,2****,*****
28518,2851*,285**,28***,2****,*****
28519,2851*,285**,28***,2****,*****
28520,2852*,285**,28***,2****,*****
28521,2852*,285**,28***,2****,*****
28522,2852*,285**,28***,2****,*****
28523,2852*,285**,28***,2****,*****
28524,2852*,285**,28***,2****,*****
28525,2852*,285**,28***,2****,*****
28526,2852*,285**,28***,2****,*****
28527,2852*,285**,28***,2****,*****
28528,2852*,285**,28***,2****,*****
28529,2852*,285**,28***,2****,*****
28530,2853*,285**,28***,2****,*****
28531,2853*,285**,28***,2****,*****
28532,2853*,285**,28***,2****,*****
28533,2853*,285**,28***,2****,*****
28537,2853*,285**,28***,2****,*****
28538,2853*,285**,28***,2****,*****
28539,2853*,285**,28***,2****,*****
28540,2854*,285**,28***,2****,*****
28542,2854*,285**,28***,2****,*****
28543,2854*,285**,28***,2****,*****
28544,2854*,285**,28***,2****,*****
28546,2854*,285**,28***,2****,*****
28547,2854*,285**,28***,2****,*****
28551,2855*,285**,28***,2****,*****
28552,2855*,285**,28***,2****,*****
28553,2855*,285**,28***,2****,*****
28554,2855*,285**,28***,2****,*****
28555,2855*,285**,28***,2****,*****
28556,2855*,285**,28***,2****,*****
28557,2855*,285**,28***,2****,*****
28560,2856*,285**,28***,2****,*****
28562,2856*,285**,28***,2****,*****
28570,2857*,285**,28***,2****,*****
28571,2857*,285**,28***,2****,*****
28572,2857*,285**,28***,2****,*****
28573,2857*,285**,28***,2****,*****
28574,2857*,285**,28***,2****,*****
28575,2857*,285**,28***,2****,*****
28577,2857*,285**,28***,2****,*****
28578,2857*,285**,28***,2****,*****
28579,2857*,285**,28***,2****,*****
28580,2858*,285**,28***,2****,*****
28581,2858*,285**,28***,2****,*****
28582,2858*,285**,28***,2****,*****
28583,2858*,285**,28***,2****,*****
28584,2858*,285**,28***,2****,*****
28585,2858*,285**,28***,2****,*****
28586,2858*,285**,28***,2****,*****
28587,2858*,285**,28***,2****,*****
28589,2858*,285**,28***,2****,*****
28590,2859*,285**,28***,2****,*****
28594,2859*,285**,28***,2****,*****
28601,2860*,286**,28***,2****,*****
28602,2860*,286**,28***,2****,*****
28604,2860*,286**,28***,2****,*****
28605,2860*,286**,28***,2****,*****
28606,2860*,286**,28***,2****,*****
28607,2860*,286**,28***,2****,*****
28608,2860*,286**,28***,2****,*****
